ScientificName;AphiaID;Trophy;typeMX;source;sourceType;contributor
Woronichinia naegeliana;146618;phototroph;NA;Helcom;routineMonitoring;Lisa
Woronichinia;146617;phototroph;NA;Helcom;routineMonitoring;Lisa
Anagnostidinema amphibium;1313613;phototroph;NA;Helcom;routineMonitoring;Lisa
Kamptonema chlorinum;840966;phototroph;NA;Helcom;routineMonitoring;Lisa
Lyngbya aestuarii;157084;phototroph;NA;Helcom;routineMonitoring;Lisa
Oscillatoria limosa;146554;phototroph;NA;Helcom;routineMonitoring;Lisa
Oscillatoriales;146603;phototroph;NA;Helcom;routineMonitoring;Lisa
Phormidium;146690;phototroph;NA;Helcom;routineMonitoring;Lisa
Planktothrix mougeotii;177583;phototroph;NA;Helcom;routineMonitoring;Lisa
Planktothrix;146551;phototroph;NA;Helcom;routineMonitoring;Lisa
Spirulina major;660933;phototroph;NA;Helcom;routineMonitoring;Lisa
Spirulina subsalsa;660753;phototroph;NA;Helcom;routineMonitoring;Lisa
Tychonema bourrellyi;615642;phototroph;NA;Helcom;routineMonitoring;Lisa
Anabaena baltica;177635;phototroph;NA;Helcom;routineMonitoring;Lisa
Anabaena cylindrica;177649;phototroph;NA;Helcom;routineMonitoring;Lisa
Anabaena inaequalis;177659;phototroph;NA;Helcom;routineMonitoring;Lisa
Anabaena oscillarioides;239061;phototroph;NA;Helcom;routineMonitoring;Lisa
Anabaena torulosa;146714;phototroph;NA;Helcom;routineMonitoring;Lisa
Anabaenopsis elenkinii;345457;phototroph;NA;Helcom;routineMonitoring;Lisa
Anabaenopsis;146590;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanizomenon flosaquae;609460;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanizomenon gracile;248100;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanizomenon hungaricum;578448;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanizomenon klebahnii;625385;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanizomenon skujae;592876;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanizomenon yezoense;659901;phototroph;NA;Helcom;routineMonitoring;Lisa
Cuspidothrix issatschenkoi;621617;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum affine;625363;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum crassum;625368;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum heterosporum;625371;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum lemmermannii;625374;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum macrosporum;625403;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum planctonicum;625407;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum sigmoideum;625408;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum smithii;625409;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum spiroides;625411;phototroph;NA;Helcom;routineMonitoring;Lisa
Dolichospermum;578476;phototroph;NA;Helcom;routineMonitoring;Lisa
Gloeotrichia echinulata;409630;phototroph;NA;Helcom;routineMonitoring;Lisa
Gloeotrichia;409629;phototroph;NA;Helcom;routineMonitoring;Lisa
Nodularia baltica;657648;phototroph;NA;Helcom;routineMonitoring;Lisa
Nodularia harveyana;178477;phototroph;NA;Helcom;routineMonitoring;Lisa
Nodularia litorea;625438;phototroph;NA;Helcom;routineMonitoring;Lisa
Nodularia spumigena;160566;phototroph;NA;Helcom;routineMonitoring;Lisa
Nodularia;156692;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroomonas;106281;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroomonas baltica;106292;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroomonas vectensis;106295;phototroph;NA;Helcom;routineMonitoring;Lisa
Cryptaulax marina;146168;phagotroph;NA;Helcom;routineMonitoring;Lisa
Cryptaulax;146167;phagotroph;NA;Helcom;routineMonitoring;Lisa
Cryptomonas curvata;238840;phototroph;NA;Helcom;routineMonitoring;Lisa
Cryptomonas erosa;155555;phototroph;NA;Helcom;routineMonitoring;Lisa
Cryptomonas marssonii;248112;phototroph;NA;Helcom;routineMonitoring;Lisa
Cryptomonas obovata;572014;phototroph;NA;Helcom;routineMonitoring;Lisa
Cryptomonas ovata;155554;phototroph;NA;Helcom;routineMonitoring;Lisa
Cryptomonas platyuris;610202;phototroph;NA;Helcom;routineMonitoring;Lisa
Hemiselmis virescens;106310;phototroph;NA;Helcom;routineMonitoring;Lisa
Hemiselmis;106287;phototroph;NA;Helcom;routineMonitoring;Lisa
Komma caudata;451665;phototroph;NA;Helcom;routineMonitoring;Lisa
Plagioselmis nannoplanctica;370563;phototroph;NA;Helcom;routineMonitoring;Lisa
Plagioselmis prolonga;106303;phototroph;NA;Helcom;routineMonitoring;Lisa
Plagioselmis;106283;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhodomonas baltica;106313;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhodomonas lacustris;248151;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhodomonas marina;106314;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhodomonas salina;106316;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhodomonas;106289;phototroph;NA;Helcom;routineMonitoring;Lisa
Teleaulax;106285;phototroph;NA;Helcom;routineMonitoring;Lisa
Pyrenomonadales;20997;phototroph;NA;Helcom;routineMonitoring;Lisa
Prorocentrum compressum;110295;phototroph;NA;Helcom;routineMonitoring;Lisa
Amphidinium incoloratum;109733;phagotroph;NA;Helcom;routineMonitoring;Lisa
Amphidinium operculatum;109745;phagotroph;NA;Helcom;routineMonitoring;Lisa
Cochlodinium pupa;109773;phototroph;NA;Helcom;routineMonitoring;Lisa
Cochlodinium;109474;phagotroph;NA;Helcom;routineMonitoring;Lisa
Gymnodinium albulum;249714;phototroph;NA;Helcom;routineMonitoring;Lisa
Gymnodinium corollarium;623645;phototroph;NA;Helcom;routineMonitoring;Lisa
Gymnodinium ostenfeldii;109819;phototroph;NA;Helcom;routineMonitoring;Lisa
Gymnodinium stellatum;232869;phagotroph;NA;Helcom;routineMonitoring;Lisa
Gymnodinium venator;547469;phagotroph;NA;Helcom;routineMonitoring;Lisa
Gymnodinium verruculosum;232880;phototroph;NA;Helcom;routineMonitoring;Lisa
Gymnodinium vestificii;109837;phagotroph;NA;Helcom;routineMonitoring;Lisa
Gyrodinium crassum;109849;phagotroph;NA;Helcom;routineMonitoring;Lisa
Gyrodinium flagellare;109854;phototroph;NA;Helcom;routineMonitoring;Lisa
Gyrodinium fusiforme;109856;phagotroph;NA;Helcom;routineMonitoring;Lisa
Gyrodinium resplendens;109874;phototroph;NA;Helcom;routineMonitoring;Lisa
Lepidodinium chlorophorum;345481;phototroph;NA;Helcom;routineMonitoring;Lisa
Sclerodinium calyptroglyphe;615516;phagotroph;NA;Helcom;routineMonitoring;Lisa
Torodinium teredo;109890;phototroph;NA;Helcom;routineMonitoring;Lisa
Torodinium;109479;phototroph;NA;Helcom;routineMonitoring;Lisa
Gymnodiniales;109392;phototroph;NA;Helcom;routineMonitoring;Lisa
Corythodinium curvicaudatum;233754;phototroph;NA;Helcom;routineMonitoring;Lisa
Durinskia baltica;248118;phototroph;NA;Helcom;routineMonitoring;Lisa
Glenodinium paululum;110149;phototroph;NA;Helcom;routineMonitoring;Lisa
Glenodinium;109538;phototroph;NA;Helcom;routineMonitoring;Lisa
Heterocapsa arctica subsp. frigida;688227;phototroph;NA;Helcom;routineMonitoring;Lisa
Heterocapsa;109540;phototroph;NA;Helcom;routineMonitoring;Lisa
Lessardia elongata;232703;phototroph;NA;Helcom;routineMonitoring;Lisa
Oxytoxum criophilum;233857;phototroph;NA;Helcom;routineMonitoring;Lisa
Parvodinium inconspicuum;838487;phototroph;NA;Helcom;routineMonitoring;Lisa
Peridinium cinctum;110183;phototroph;NA;Helcom;routineMonitoring;Lisa
Preperidinium meunieri;614618;phagotroph;NA;Helcom;routineMonitoring;Lisa
Protoperidinium breve;110209;phagotroph;NA;Helcom;routineMonitoring;Lisa
Protoperidinium bolmonense;623339;phagotroph;NA;Helcom;routineMonitoring;Lisa
Protoperidinium crassipes;110214;phagotroph;NA;Helcom;routineMonitoring;Lisa
Protoperidinium laticeps;110228;phagotroph;NA;Helcom;routineMonitoring;Lisa
Protoperidinium longispinum;233195;phagotroph;NA;Helcom;routineMonitoring;Lisa
Scrippsiella hangoei;233093;phototroph;NA;Helcom;routineMonitoring;Lisa
Peridiniales;109394;phototroph;NA;Helcom;routineMonitoring;Lisa
Alexandrium pseudogonyaulax;109713;mixotroph;CM;Leles et al. 2019;review;Lisa
Alexandrium;109470;phototroph;NA;Helcom;routineMonitoring;Lisa
Amylax triacantha var. triacantha;1304620;phototroph;NA;Helcom;routineMonitoring;Lisa
Amylax triacantha var. buxus;846758;phototroph;NA;Helcom;routineMonitoring;Lisa
Ceratium hirundinella;156511;phototroph;NA;Helcom;routineMonitoring;Lisa
Ceratium longipes;109964;phototroph;NA;Helcom;routineMonitoring;Lisa
Ceratium macroceros;109967;phototroph;NA;Helcom;routineMonitoring;Lisa
Fragilidium;109468;phototroph;NA;Helcom;routineMonitoring;Lisa
Gonyaulax scrippsae;110039;phototroph;NA;Helcom;routineMonitoring;Lisa
Micracanthodinium claytonii;109992;phototroph;NA;Helcom;routineMonitoring;Lisa
Peridiniella catenata;110156;phototroph;NA;Helcom;routineMonitoring;Lisa
Biecheleria baltica;626297;phototroph;NA;Helcom;routineMonitoring;Lisa
Dinophyceae;19542;phototroph;NA;Helcom;routineMonitoring;Lisa
Pleurochrysis;235825;phototroph;NA;Helcom;routineMonitoring;Lisa
Chrysotila carterae;837255;phototroph;NA;Helcom;routineMonitoring;Lisa
Pavlova;249731;phototroph;NA;Helcom;routineMonitoring;Lisa
Phaeocystis globosa;160538;phototroph;NA;Helcom;routineMonitoring;Lisa
Phaeocystis pouchetii;115106;phototroph;NA;Helcom;routineMonitoring;Lisa
Chrysochromulina birgeri;615467;mixotroph;NA;Helcom;routineMonitoring;Lisa
Chrysochromulina parkeae;115126;mixotroph;NA;Helcom;routineMonitoring;Lisa
Chrysochromulina spinifera;115129;mixotroph;NA;Helcom;routineMonitoring;Lisa
Chrysochromulina;115090;mixotroph;NA;Helcom;routineMonitoring;Lisa
Haptolina hirta;699623;mixotroph;CM;Leles et al. 2019;review;Lisa
Prymnesium polylepis;670030;mixotroph;CM;Leles et al. 2019;review;Lisa
Prymnesium;160563;mixotroph;NA;Helcom;routineMonitoring;Lisa
Prymnesiales;115061;mixotroph;NA;Helcom;routineMonitoring;Lisa
Acanthoica quattrospina;235802;mixotroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon acuminatum;572032;mixotroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon balticum;160552;mixotroph;CM;Leles et al. 2019;review;Lisa
Dinobryon bavaricum;157242;mixotroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon borgei;571655;phototroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon crenulatum;572033;mixotroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon cylindricum;157246;mixotroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon divergens;157248;mixotroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon suecicum;577553;phototroph;NA;Helcom;routineMonitoring;Lisa
Dinobryon;157240;mixotroph;NA;Helcom;routineMonitoring;Lisa
Kephyrion;163474;mixotroph;NA;Helcom;routineMonitoring;Lisa
Ollicola vangoorii;162740;phototroph;NA;Helcom;routineMonitoring;Lisa
Paraphysomonas;291417;phagotroph;NA;Helcom;routineMonitoring;Lisa
Ochromonas;249725;mixotroph;CM;Leles et al. 2019;review;Lisa
Ochromonadales;157237;mixotroph;NA;Helcom;routineMonitoring;Lisa
Uroglenopsis americana;555951;phototroph;NA;Helcom;routineMonitoring;Lisa
Uroglena;248172;phototroph;NA;Helcom;routineMonitoring;Lisa
Uroglenopsis;555950;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudopedinella elastica;248149;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudopedinella pyriformis;160600;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudopedinella thomsenii;388485;phototroph;NA;Helcom;routineMonitoring;Lisa
Chrysophyceae;146230;mixotroph;NA;Helcom;routineMonitoring;Lisa
Pseudochattonella farcimen;531467;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudochattonella verruculosa;531446;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudochattonella;531445;phototroph;NA;Helcom;routineMonitoring;Lisa
Mallomonas akrokomos;249722;phototroph;NA;Helcom;routineMonitoring;Lisa
Mallomonas caudata;409645;phototroph;NA;Helcom;routineMonitoring;Lisa
Mallomonas hamata;610261;phototroph;NA;Helcom;routineMonitoring;Lisa
Mallomonas multiunca;610267;phototroph;NA;Helcom;routineMonitoring;Lisa
Mallomonas ploesslii;841057;phototroph;NA;Helcom;routineMonitoring;Lisa
Mallomonas punctifera;610275;phototroph;NA;Helcom;routineMonitoring;Lisa
Synura uvella;178595;phototroph;NA;Helcom;routineMonitoring;Lisa
Synura;178594;phototroph;NA;Helcom;routineMonitoring;Lisa
Acanthoceras zachariasii;178990;phototroph;NA;Helcom;routineMonitoring;Lisa
Actinocyclus normanii f. normanii;162766;phototroph;NA;Helcom;routineMonitoring;Lisa
Actinocyclus normanii f. subsalsus;157433;phototroph;NA;Helcom;routineMonitoring;Lisa
Actinocyclus octonarius var. octonarius;162770;phototroph;NA;Helcom;routineMonitoring;Lisa
Actinocyclus octonarius var. crassus;160648;phototroph;NA;Helcom;routineMonitoring;Lisa
Actinocyclus octonarius var. tenellus;160650;phototroph;NA;Helcom;routineMonitoring;Lisa
Actinoptychus senarius;148948;phototroph;NA;Helcom;routineMonitoring;Lisa
Attheya decora;160520;phototroph;NA;Helcom;routineMonitoring;Lisa
Attheya longicornis;464444;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira alpigena;162837;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira distans;149096;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira granulata var. granulata;162864;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira granulata var. angustissima;162865;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira islandica;149648;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira islandica subsp. islandica;162867;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira islandica subsp. helvetica;162869;phototroph;NA;Helcom;routineMonitoring;Lisa
Aulacoseira italica;162877;phototroph;NA;Helcom;routineMonitoring;Lisa
Cerataulina pelagica;149619;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros anastomosans var. externa;162998;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros castracanei;341473;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros calcitrans;163013;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros ceratosporus var. ceratosporus;163016;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros circinalis;163019;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros diadema;149128;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros didymus var. anglica;163049;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros didymus var. didymus;163048;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros holsaticus;163063;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros ingolfianus;156613;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros laciniosus;149228;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros minimus;163089;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros muelleri;163098;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros neogracilis;178207;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros pauciramosus;1296550;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros protuberans;163055;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros salsugineum;621740;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros subtilis var. subtilis;163131;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros throndsenii;163137;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros throndsenii var. throndsenii;163150;phototroph;NA;Helcom;routineMonitoring;Lisa
Chaetoceros wighamii;160524;phototroph;NA;Helcom;routineMonitoring;Lisa
Conticribra guillardii;547454;phototroph;NA;Helcom;routineMonitoring;Lisa
Conticribra weissflogii;623754;phototroph;NA;Helcom;routineMonitoring;Lisa
Coscinodiscus asteromphalus;149274;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyclostephanos dubius;148996;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyclotella atomus;148907;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyclotella choctawhatcheeana;148908;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyclotella glomerata;149260;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyclotella radiosa;149000;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyclotella stelligera;149259;phototroph;NA;Helcom;routineMonitoring;Lisa
Dactyliosolen blavyanus;179786;phototroph;NA;Helcom;routineMonitoring;Lisa
Dactyliosolen phuketensis;248064;phototroph;NA;Helcom;routineMonitoring;Lisa
Detonula confervacea;149286;phototroph;NA;Helcom;routineMonitoring;Lisa
Detonula pumila;149647;phototroph;NA;Helcom;routineMonitoring;Lisa
Guinardia delicatula;149112;phototroph;NA;Helcom;routineMonitoring;Lisa
Guinardia flaccida;149132;phototroph;NA;Helcom;routineMonitoring;Lisa
Guinardia striata;149113;phototroph;NA;Helcom;routineMonitoring;Lisa
Leptocylindrus mediterraneus;149230;phototroph;NA;Helcom;routineMonitoring;Lisa
Leptocylindrus;149038;phototroph;NA;Helcom;routineMonitoring;Lisa
Melosira arctica;160537;phototroph;NA;Helcom;routineMonitoring;Lisa
Melosira lineata;156636;phototroph;NA;Helcom;routineMonitoring;Lisa
Melosira nummuloides;149044;phototroph;NA;Helcom;routineMonitoring;Lisa
Neocalyptrella robusta;345491;phototroph;NA;Helcom;routineMonitoring;Lisa
Odontella sinensis;149095;phototroph;NA;Helcom;routineMonitoring;Lisa
Planktoniella sol;196815;phototroph;NA;Helcom;routineMonitoring;Lisa
Proboscia indica;345513;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudosolenia calcar-avis;163344;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhizosolenia hebetata f. semispina;149071;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhizosolenia longiseta;163522;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhizosolenia setigera f. pungens;547544;phototroph;NA;Helcom;routineMonitoring;Lisa
Roperia tesselata;149105;phototroph;NA;Helcom;routineMonitoring;Lisa
Skeletonema marinoi;376667;phototroph;NA;Helcom;routineMonitoring;Lisa
Skeletonema potamos;163390;phototroph;NA;Helcom;routineMonitoring;Lisa
Stephanodiscus binderanus;163403;phototroph;NA;Helcom;routineMonitoring;Lisa
Stephanodiscus minutulus;163427;phototroph;NA;Helcom;routineMonitoring;Lisa
Stephanodiscus neoastraea;163433;phototroph;NA;Helcom;routineMonitoring;Lisa
Stephanodiscus parvus;149083;phototroph;NA;Helcom;routineMonitoring;Lisa
Stephanodiscus rotula;163435;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira angulata;148913;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira anguste-lineata;148914;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira constricta;345531;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira hyalina;149100;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira hyperborea;163491;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira hyperborea var. pelagica;163499;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira lacustris;163494;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira minima;148925;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira proschkinae;148933;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira pseudonana;148934;phototroph;NA;Helcom;routineMonitoring;Lisa
Thalassiosira punctigera;148936;phototroph;NA;Helcom;routineMonitoring;Lisa
Trieres mobiliensis;839991;phototroph;NA;Helcom;routineMonitoring;Lisa
Trieres regia;839996;phototroph;NA;Helcom;routineMonitoring;Lisa
Amphiprora paludosa var. paludosa;163647;phototroph;NA;Helcom;routineMonitoring;Lisa
Amphora commutata;163655;phototroph;NA;Helcom;routineMonitoring;Lisa
Amphora ovalis;149524;phototroph;NA;Helcom;routineMonitoring;Lisa
Aneumastus tusculus;163682;phototroph;NA;Helcom;routineMonitoring;Lisa
